review_content,review_rating,raw_cutting_performance,overall_cutting_performance,cutting_performance_opinion,cutting_performance,raw_ease_of_use,overall_ease_of_use,ease_of_use_opinion,ease_of_use,raw_durability,overall_durability,durability_opinion,durability,raw_engine_power,overall_engine_power,engine_power_opinion,engine_power,raw_maneuverability,overall_maneuverability,maneuverability_opinion,maneuverability
Don’t buy this product.: The mower came without a warranty document and maintenance schedule. Apparently you have to mail a written request to Toro to receive either. Would never have purchased the mower had I known this. I have never purchased anything in my life that didn’t have warranty and maintenance information in the data package.[Rating - 3/5],3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower came without a warranty document and maintenance schedule.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the mower came without a warranty document and maintenance schedule.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower came without a warranty document and maintenance schedule, which could impact the ease of use in terms of maintenance and support.
3. The reviewer's opinion on the ease_of_use is NEGATIVE, as they express frustration about not having warranty and maintenance information readily available.",NEGATIVE,"The reviewer mentions that the mower came without a warranty document and maintenance schedule, which could impact the ease of use in terms of maintenance and support.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower came without a warranty document and maintenance schedule.
3. The reviewer's opinion on the durability is NEGATIVE, as they express disappointment in not receiving warranty and maintenance information with the product.",NEGATIVE,The reviewer mentions that the mower came without a warranty document and maintenance schedule.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about the engine_power.
3. Since the reviewer does not mention anything about the engine_power, the sentiment on engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not mention anything about maneuverability.
3. Since the reviewer did not mention anything about maneuverability, the sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about maneuverability.,NOT MENTIONED
"Can be tricky: I like Toro mowers in general, ideas like the easy deck adjustments are great. The rear wheel drive is not a good, almost safety questionable idea.[Rating - 3/5]",3,"1. The overall review is NEUTRAL
2. The reviewer mentions that they like Toro mowers in general and appreciate features like easy deck adjustments.
3. The reviewer does not specifically mention the cutting_performance, so the sentiment on cutting_performance is NOT MENTIONED.",NEUTRAL,The reviewer mentions that they like Toro mowers in general and appreciate features like easy deck adjustments.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that they like Toro mowers in general and appreciate features like easy deck adjustments.
3. The reviewer's opinion on ease_of_use is POSITIVE.",NEUTRAL,The reviewer mentions that they like Toro mowers in general and appreciate features like easy deck adjustments.,POSITIVE,"1. The overall review is NEUTRAL
2. The reviewer mentions that they like Toro mowers in general and appreciate features like easy deck adjustments.
3. The reviewer does not specifically mention the durability of the product, so the sentiment on durability is NOT MENTIONED.",NEUTRAL,The reviewer mentions that they like Toro mowers in general and appreciate features like easy deck adjustments.,NOT MENTIONED,"1. The overall review is NEUTRAL
2. The reviewer does not specifically mention engine_power in the review.
3. The reviewer's opinion on engine_power is NOT MENTIONED.",NEUTRAL,The reviewer does not specifically mention engine_power in the review.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the Toro mower can be tricky to use.
3. The reviewer's opinion on maneuverability is NOT MENTIONED.",NEUTRAL,The reviewer mentions that the Toro mower can be tricky to use.,NOT MENTIONED
"Handle too low - not recommended if you are taller: I find the mower handle does not come up high enough for comfortable use.  I am 5'11"" and the handle just about reaches my hands.  I wear a 33/34 inch sleeve so my arm length is normal.  The area I cut does have some hills which accentuates the low handle issue.  It is also an issue when I need to push down on the handle to pivot the mower when making turns, etc.  I imagine the manufacturer decreased the length of the upright parts of the handle to reduce costs.

If you are 5'9"" or taller, I wou...[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the handle of the lawn mower is too low for comfortable use, especially for taller individuals like the reviewer.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the handle of the lawn mower is too low for comfortable use, especially for taller individuals like the reviewer.",NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer talks about the handle being too low for comfortable use, especially for taller individuals like themselves.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer talks about the handle being too low for comfortable use, especially for taller individuals like themselves.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the handle of the lawn mower is too low for comfortable use, which suggests a potential issue with the durability of the product.
3. The reviewer's opinion on the durability is NEGATIVE, as they mention that the low handle height may be a result of cost-cutting measures by the manufacturer.",NEGATIVE,"The reviewer mentions that the handle of the lawn mower is too low for comfortable use, which suggests a potential issue with the durability of the product.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about the engine_power.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer talks about how the low handle of the mower makes it difficult to pivot the mower when making turns, especially on hills.
3. The reviewer's opinion on maneuverability is NEGATIVE.",NEGATIVE,"The reviewer talks about how the low handle of the mower makes it difficult to pivot the mower when making turns, especially on hills.",NEGATIVE
"Poorly made: During its Eden voyage on my lawn, I got 3/4 of the way through and the front wheels dropped. While I was looking at the lever that raises and lowers the front end of the mower, it looks like it was cheaply made, and will not hold up the mower any longer.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer talks about the front wheels dropping and the lever that raises and lowers the front end of the mower.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer talks about the front wheels dropping and the lever that raises and lowers the front end of the mower.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the front wheels of the lawn mower dropped while they were using it and that the lever for raising and lowering the front end of the mower looked cheaply made.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the front wheels of the lawn mower dropped while they were using it and that the lever for raising and lowering the front end of the mower looked cheaply made.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the front wheels of the lawn mower dropped while they were using it on their lawn.
3. The reviewer's opinion on the durability is NEGATIVE, as they mention that the lever that raises and lowers the front end of the mower looks cheaply made and will not hold up the mower any longer.",NEGATIVE,The reviewer mentions that the front wheels of the lawn mower dropped while they were using it on their lawn.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the engine_power.
3. Since the reviewer does not mention the engine_power, the sentiment on engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions the front wheels dropping and the lever that raises and lowers the front end of the mower.
3. The sentiment on maneuverability is NEGATIVE",NEGATIVE,The reviewer mentions the front wheels dropping and the lever that raises and lowers the front end of the mower.,NEGATIVE
"No adjustments for self propeller.: I just thought it wasn't powerful enough, runs weak and self propeller was slow and didn't have a speed adjustment.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower wasn't powerful enough and the self propeller was slow.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawn mower wasn't powerful enough and the self propeller was slow.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the self-propeller was slow and didn't have a speed adjustment.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the self-propeller was slow and didn't have a speed adjustment.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower was not powerful enough, ran weak, and the self-propeller was slow with no speed adjustment.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the lawn mower was not powerful enough, ran weak, and the self-propeller was slow with no speed adjustment.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the engine power is not powerful enough and runs weak.
3. The reviewer's opinion on the engine_power is NEGATIVE",NEGATIVE,The reviewer mentions that the engine power is not powerful enough and runs weak.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the self-propeller was slow and didn't have a speed adjustment.
3. The reviewer's opinion on the maneuverability is NEGATIVE",NEGATIVE,The reviewer mentions that the self-propeller was slow and didn't have a speed adjustment.,NEGATIVE
"Loud Junk: It is the second worse product I have ever bought. The worst thing I ever bought was an electric fireplace that caught on fire. This Toro lawnmower is a close second. The wheels don't stay locked in the position that you set them at. It's terrible noisey, it rattles like a world war 1 tank.  It has been a terrible purchase and I would never buy another Toro product.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the wheels don't stay locked in the position that you set them at and that the lawnmower is noisy and rattles.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer mentions that the wheels don't stay locked in the position that you set them at and that the lawnmower is noisy and rattles.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the wheels don't stay locked in the position that you set them at and that the lawnmower is noisy and rattles.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the wheels don't stay locked in the position that you set them at and that the lawnmower is noisy and rattles.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the wheels don't stay locked in the position that is set and that the lawnmower is noisy and rattles.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,The reviewer mentions that the wheels don't stay locked in the position that is set and that the lawnmower is noisy and rattles.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the engine_power.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the wheels don't stay locked in the position that you set them at.
3. The reviewer's opinion on the maneuverability is NEGATIVE",NEGATIVE,The reviewer mentions that the wheels don't stay locked in the position that you set them at.,NEGATIVE
Speed control is not good: Decent mower except for the self-propelled. Goes too fast for walking speed and cannot be adjusted. Holding the speed bar out almost all the way is the only way to go slower and it is hard on the hands and difficult to control lower speed.[Rating - 3/5],3,"1. The overall review is NEGATIVE
2. The reviewer talks about the speed control of the mower affecting their ability to control the lower speed.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer talks about the speed control of the mower affecting their ability to control the lower speed.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer talks about the speed control not being good and specifically mentions the self-propelled feature.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer talks about the speed control not being good and specifically mentions the self-propelled feature.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention durability in the review.
3. The sentiment on durability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions the engine_power indirectly by discussing the speed control of the self-propelled mower.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",NEGATIVE,The reviewer mentions the engine_power indirectly by discussing the speed control of the self-propelled mower.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer talks about the maneuverability in terms of the speed control being too fast and difficult to adjust.
3. The reviewer's opinion on the maneuverability is NEGATIVE.",NEGATIVE,The reviewer talks about the maneuverability in terms of the speed control being too fast and difficult to adjust.,NEGATIVE
"Lawn Mower Leaking Oil After First Use: The lawn mower is leaking oil after first use. After the initial setup when I tried to use it,  it stopped every 5 minutes and completely stopped after some time. Then I noticed the oil leak. Complete waste of my time and effort. Now I have to carry this oil-leaking junk to the Lowes to return.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower stopped every 5 minutes and completely stopped after some time, indicating issues with its performance.
3. The reviewer's opinion on the cutting_performance is NEGATIVE as they experienced issues with the lawn mower's performance.",NEGATIVE,"The reviewer mentions that the lawn mower stopped every 5 minutes and completely stopped after some time, indicating issues with its performance.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawn mower stopped every 5 minutes and completely stopped after some time, indicating issues with its operation.
3. The reviewer's opinion on the ease_of_use is NEGATIVE as they experienced problems with the lawn mower's performance during their first use.",NEGATIVE,"The reviewer mentions that the lawn mower stopped every 5 minutes and completely stopped after some time, indicating issues with its operation.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawn mower is leaking oil after the first use and stopped working after a short period of time.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawn mower is leaking oil after the first use and stopped working after a short period of time.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower stopped every 5 minutes and completely stopped after some time.
3. The reviewer's opinion on the engine_power is NEGATIVE",NEGATIVE,The reviewer mentions that the lawn mower stopped every 5 minutes and completely stopped after some time.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention anything about maneuverability.
3. Sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about maneuverability.,NOT MENTIONED
"only okay: I do not like how weak the self propelled motor is. On smooth, short grass or other relatively flat surfaces it's fine. Any thick grass or incline it struggles a bit. The wheels are cheap plastic and not hard rubber. The back wheels are small for a rear wheel self propelled mower. It does start relatively easy, it's quiet, and mulches the grass well.[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the self propelled motor struggles on thick grass or inclines, but is fine on smooth, short grass or flat surfaces.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,"The reviewer mentions that the self propelled motor struggles on thick grass or inclines, but is fine on smooth, short grass or flat surfaces.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the self-propelled motor is weak, struggles on thick grass or inclines, and that the wheels are cheap plastic.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the self-propelled motor is weak, struggles on thick grass or inclines, and that the wheels are cheap plastic.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the wheels are cheap plastic and not hard rubber, and that the back wheels are small for a rear wheel self propelled mower.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the wheels are cheap plastic and not hard rubber, and that the back wheels are small for a rear wheel self propelled mower.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer talks about how weak the self propelled motor is.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,The reviewer talks about how weak the self propelled motor is.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the self-propelled motor struggles on thick grass or inclines, but is fine on smooth, short grass or flat surfaces.
3. The reviewer's opinion on maneuverability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the self-propelled motor struggles on thick grass or inclines, but is fine on smooth, short grass or flat surfaces.",NEGATIVE
"bad,bad: Started fine the 1st time, mowed well on Friday.  Tried to start again & it would not start on Wednesday.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower mowed well on Friday but would not start again on Wednesday.
3. The reviewer's opinion on the cutting_performance is NEGATIVE",NEGATIVE,The reviewer mentions that the lawn mower mowed well on Friday but would not start again on Wednesday.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawn mower started fine the first time and mowed well on Friday, but then it would not start again on Wednesday.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the lawn mower started fine the first time and mowed well on Friday, but then it would not start again on Wednesday.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower started fine the first time and mowed well on Friday, but then would not start again on Wednesday.
3. The reviewer's opinion on durability is NEGATIVE",NEGATIVE,"The reviewer mentions that the lawn mower started fine the first time and mowed well on Friday, but then would not start again on Wednesday.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower started fine the first time and mowed well on Friday, but then would not start again on Wednesday.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,"The reviewer mentions that the lawn mower started fine the first time and mowed well on Friday, but then would not start again on Wednesday.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
Billy goats would do a better job: Junk wont bag.  Most grass cut ends back in the yard.  Motor is so underpowered it will self propel itself right a binding stop.  Also more than one pull to start.   Poor design.  Poor execution.  Returning this week.[Rating - 1/5],1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower does a poor job at cutting grass, with most grass cut ends ending up back in the yard.
3. Sentiment on cutting_performance is NEGATIVE",NEGATIVE,"The reviewer mentions that the lawn mower does a poor job at cutting grass, with most grass cut ends ending up back in the yard.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawn mower is underpowered, self-propels itself to a stop, and requires more than one pull to start.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the lawn mower is underpowered, self-propels itself to a stop, and requires more than one pull to start.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower is of poor design and poor execution.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawn mower is of poor design and poor execution.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the motor is underpowered.
3. The reviewer's opinion on the engine_power is NEGATIVE",NEGATIVE,The reviewer mentions that the motor is underpowered.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower is underpowered and self-propels itself to a binding stop.
3. Sentiment on maneuverability is NEGATIVE",NEGATIVE,The reviewer mentions that the lawn mower is underpowered and self-propels itself to a binding stop.,NEGATIVE
Do not buy this toro mower: This mower is terrible. It continuously dies on me when trying to mow and the instructions came with just pictures so it doesn’t really help when trying to troubleshoot what’s going on. Lowe’s can do anything about it and it has been extremely difficult trying to get a warranty on it.[Rating - 1/5],1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower continuously dies on them when trying to mow.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower continuously dies on them when trying to mow.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower continuously dies on them when trying to mow and that the instructions came with just pictures, making it difficult to troubleshoot.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the mower continuously dies on them when trying to mow and that the instructions came with just pictures, making it difficult to troubleshoot.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower continuously dies on them when trying to mow.
3. The reviewer's opinion on durability is NEGATIVE as they are experiencing issues with the mower continuously dying on them.",NEGATIVE,The reviewer mentions that the mower continuously dies on them when trying to mow.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower continuously dies on them when trying to mow.
3. The reviewer's opinion on the engine_power is NEGATIVE as they are experiencing issues with the mower continuously dying.",NEGATIVE,The reviewer mentions that the mower continuously dies on them when trying to mow.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention maneuverability.
3. Since maneuverability is not mentioned, the sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention maneuverability.,NOT MENTIONED
The perfect lawnmower for decades.: The Cadillac of lawnmowers. My last Toro worked perfectly for 30 years.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower is ""The Cadillac of lawnmowers"" and worked perfectly for 30 years.
3. Sentiment on cutting_performance is POSITIVE",POSITIVE,"The reviewer mentions that the lawnmower is ""The Cadillac of lawnmowers"" and worked perfectly for 30 years.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the Toro lawnmower is ""The Cadillac of lawnmowers"" and worked perfectly for 30 years.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer mentions that the Toro lawnmower is ""The Cadillac of lawnmowers"" and worked perfectly for 30 years.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about how their last Toro lawnmower worked perfectly for 30 years.
3. The reviewer's opinion on the durability is POSITIVE",POSITIVE,The reviewer talks about how their last Toro lawnmower worked perfectly for 30 years.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower worked perfectly for 30 years.
3. The reviewer's opinion on the engine_power is NOT MENTIONED",POSITIVE,The reviewer mentions that the lawnmower worked perfectly for 30 years.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention maneuverability.
3. Sentiment on maneuverability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention maneuverability.,NOT MENTIONED
They tired to cheat me on my return: [Rating - 1/5],1,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention cutting_performance
3. Sentiment on cutting_performance is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention cutting_performance,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention ease_of_use in the review.
3. Sentiment on ease_of_use is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention ease_of_use in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer did not mention anything about the engine_power.
3. Sentiment on engine_power is NOT MENTIONED",NEGATIVE,The reviewer did not mention anything about the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about maneuverability.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not mention anything about maneuverability.,NOT MENTIONED
"Good product: Works just like it should. I’ve had Toro mowers before, all good, and this one didn’t disappoint. Good price also. Self propelled feature works great.[Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the mower works just like it should and that the self propelled feature works great.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the mower works just like it should and that the self propelled feature works great.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the self-propelled feature works great.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,The reviewer mentions that the self-propelled feature works great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they have had Toro mowers before and they have all been good, indicating a positive experience with the durability of Toro mowers.
3. The reviewer's opinion on the durability is POSITIVE",POSITIVE,"The reviewer mentions that they have had Toro mowers before and they have all been good, indicating a positive experience with the durability of Toro mowers.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention the engine_power.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention the engine_power.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the self propelled feature works great.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer mentions that the self propelled feature works great.,POSITIVE
WORKS GREAT MORE SPECS FOR MANUAL: I LOVE THE WAY IT WORKS JUST WISH THE MANUAL EXPLAINED MORE SPECIFIC BASIC MAINTENANCE E.G WHAT SIDE TO TURN IT ON WHEN TURNING IT TO TAKE OFF BLADES. OR HOW OFTEN TO SHARPEN BLADES[Rating - 4/5],4,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower works great but wishes the manual explained more specific basic maintenance details, such as what side to turn it on when taking off blades and how often to sharpen blades.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the lawn mower works great but wishes the manual explained more specific basic maintenance details, such as what side to turn it on when taking off blades and how often to sharpen blades.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they love the way the lawn mower works but wishes the manual explained more specific basic maintenance details.
3. Sentiment on ease_of_use is POSITIVE",POSITIVE,The reviewer mentions that they love the way the lawn mower works but wishes the manual explained more specific basic maintenance details.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions the need for more specific information in the manual regarding basic maintenance, such as how often to sharpen blades and what side to turn it on when taking off blades.
3. The sentiment on durability is NOT MENTIONED",POSITIVE,"The reviewer mentions the need for more specific information in the manual regarding basic maintenance, such as how often to sharpen blades and what side to turn it on when taking off blades.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention engine_power in the review.
3. Since the reviewer does not mention engine_power, the sentiment on engine_power is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention engine_power in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they love the way the product works but wish the manual explained more specific basic maintenance details.
3. The reviewer does not mention anything specific about maneuverability, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that they love the way the product works but wish the manual explained more specific basic maintenance details.,NOT MENTIONED
Great quality: Its very powerful. But you can control the speed.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower is very powerful.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the lawn mower is very powerful.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower is very powerful and that you can control the speed.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,The reviewer mentions that the lawn mower is very powerful and that you can control the speed.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions the quality of the lawn mower, stating that it is very powerful.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,"The reviewer mentions the quality of the lawn mower, stating that it is very powerful.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower is very powerful.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,The reviewer mentions that the lawn mower is very powerful.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that you can control the speed of the lawn mower.
3. The reviewer's opinion on maneuverability is NOT MENTIONED.",POSITIVE,The reviewer mentions that you can control the speed of the lawn mower.,NOT MENTIONED
"re: easy assembly and use: Immediately after I assembled the mower, in two steps, I was mowing my lawn at a great rate and a lot of grass was cut.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer talks about how they were able to mow their lawn at a great rate and cut a lot of grass after assembling the mower.
3. Sentiment on cutting_performance is POSITIVE",POSITIVE,The reviewer talks about how they were able to mow their lawn at a great rate and cut a lot of grass after assembling the mower.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the mower was easy to assemble and use, with only two steps required.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer mentions that the mower was easy to assemble and use, with only two steps required.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. The reviewer's opinion on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they were able to mow their lawn at a great rate and a lot of grass was cut.
3. The reviewer's opinion on the engine_power is POSITIVE",POSITIVE,The reviewer mentions that they were able to mow their lawn at a great rate and a lot of grass was cut.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they were able to mow their lawn at a great rate and cut a lot of grass.
3. The reviewer's opinion on maneuverability is POSITIVE.",POSITIVE,The reviewer mentions that they were able to mow their lawn at a great rate and cut a lot of grass.,POSITIVE
