review_text,review_rating,cooking_surface,heat_control,durability,portability,versatility
"Great Unit!: Overall, amazing!  Couple minor issues and only reason it’s not a (5) star: 1) when cleaning, the top is up, and you shove all the mess through the cleaning hole at the back, and when doing so, you end up dropping a bit of grease and mess into the back lip of the top (bad design), 2) super minor but the paper towel holder overlaps the LP tank hook, so you can’t really slide in, plus the hook is too far for a standard roll to actually turn, you have to cram it on, 3) although not super difficult ...",4,NA,NA,NA,NA,NA
"Blackstone griddle: Enjoying the griddle and what I can cook on it. Would like to thank the Mr. Raul, as he helped me with the griddle he was telling me pointers on my griddle build preparing to cook on, thank you sir for your help.",5,1,0,1,-1,0
Terrible experience: Problems from after using it 2 X!  Lowes told me to call Blackstone Direct as they would be able to  help.  Well after replacing all the wrong parts and miscommunication  They replaced the lid which rusted and paint peeled and left the griddle with major rust issues. I am told they will not replace the griddle plate which after many seasonings and oiling still rusts and I refuse to put expensive cuts of meats or fish etc on this unsitely griddle.  After dealing with this since July and 3 differe...,1,-1,0,-1,NA,NA
"Cheap feeling: Don’t let Lowe’s fool you and sell you one that they “just put on the floor” and had an associate build. That free assembly is not great. I purchased one from the floor that they had just build. Well when I got home and unloaded it, the front accessory for the spices fell and bent. It was missing a screw but it turns out that it came from the manufacture that part that the screw screws in the metal frame. There was a hole but the housing itself did not come with the part to screw a screw in it. ...",1,NA,NA,-1,NA,NA
"would have been 5 stars....: Had it put together there, as we putnit in the truck 2 bolts fell out. had to go over the whole grill when we got home to make sure they were all tight...",3,NA,NA,-1,NA,NA
"Great griddle!: Made well, sturdy, high quality, looks sharp, cooks evenly, cook everything from hibachi to BBQ chicken to a great breakfast!   Love it!",5,1,1,1,NA,1
"Broken griddle upon arrival.: This griddle is nice but it was delivered and assembled by Lowe’s secondary company. I thought I was ordering from local store but no it was a 2 hour delivery time to my home. They delivered and didn’t inspect before leaving. I go to season the next morning and it will not season properly. Turns out the griddle pins have broken away from the welding to hold griddle in place on one side. 

On phone for 2 plus hours holding them arrange for a pick up a week from deliver date and still no replaceme...",1,-1,0,-1,0,0
"looks nice hood didn't work: I bought this for my girlfriend because she loves to grill and really wanted a Blackstone. I ordered online and she picked it up. they were nice enough to give her a pre-built one because ""we would appreciate that more."" I went to use it for the first time and I noticed the hood doesn't open and close right so I looked at the hinges. one screw was crooked. I came to find the nut is different from the other side. idk who built it. if it was Lowe's or Blackstone but I assume a Lowe's employee grab...",1,NA,NA,-1,NA,NA
I awesome grill: It's an awesome grill glad to own it. It was worth every penny. I paid for it.,5,1,1,1,1,1
Product was damaged: Delivey folks were great and communicated well.  Order online was easy.  Product arrived damaged. The delivery folks took photos yet the store never reached out to me to address the issue- guess I will need to initate the follow up,3,NA,NA,NA,NA,NA
Tray falls off: Nice grill but the tray doesn’t fit. The pins don’t engage enough and it falls off.,2,NA,NA,NA,NA,NA
"Cast-iron  is the way to go: So far,  ive used it twice. Once was a stir fry and breakfast once. All I can say is, I should have made this purchase a long time ago",5,1,-1,1,NA,1
So far so good!: First time trying it out! Seems it will be a good time!,5,NA,NA,NA,NA,NA
"Great product overall: Soooo I ordered this for delivery against my better judgement, it arrived literally smashed, bent, broken and scratched. You know the bar is low for delivery when we factor in time to have to drive it back to the store before it’s even delivered. CDT & the store was not helpful over the phone (also anticipated) and offered to pick it up/Re deliver the next week… Naturally, we loaded it up & took it to the store ourselves to exchange it but they didn’t have any assembled in stock so we got one in...",4,-1,0,-1,-1,0
"damaged: trying to pick up and the item has 4 dents, now trying to get another one.  This is a gift and very disappointed that someone puts an item together and then tries to deliver in poor condition.",1,NA,NA,-1,NA,NA
"This is a review about Lowes, not Blackstone.: I haven't used my Blackstone yet, but I'm excited to learn how! 

My last two Lowes deliveries, however, have been dented. First it was my refrigerator with dents on the freezer and door (they also took my old refrigerator that I had planned to keep). Now the front tray and bottom shelf of my Blackstone were delivered dented (it was delivered assembled). These things aren't cheap so it's a bit of a let down when they show up damaged. I can still use both, but I will look elsewhere for my next pu...",2,NA,NA,-1,NA,NA
Perfect for breakfast: The large surface area makes this great to cook multiple things at once.,5,1,NA,NA,NA,NA
"Chilling & griddling!: Great griddle, it creates great family fun and meals together.",5,1,0,1,NA,1
"Big pile of rust: While we love cooking on this griddle, it has been nothing but problems with the quality of this unit. I bought this for Christmas 2022 for my wife and we've had to order replacement parts twice within 9 months because they are rusting away. I will not look at Blackstone when this thing turns into a pile of rust and I need to buy another griddle. Very disappointed. If I could give it zero stars I would.",1,1,0,-1,NA,NA
Don’t believe the delivery date: Product is great but I was promised delivery on Jan 18th but that morning it was changed to the 20th.  I took the day off at work for nothing.  I should be compensated for that.  I am still waiting to hear back from customer service but doesn’t seem to be a priority for Lowe’s.,4,NA,NA,NA,NA,NA
"Tips for easier assembly: Great product, flawed instructions:  

First, on page 7, the list of components fails to mention the four brackets used to mount the side shelves.  

On page 8, though each of the four legs is numbered 1-4 there is no reference to those numbers in the instructions.  They are as follows:
#1 is Left front, #2 is Left back, #3 is Right front, and #4 is Right back.  Now, was that hard?  *sigh*

On page 10 it shows the lower shelf being installed flange side up which is incorrect.  It should be insta...",4,NA,NA,NA,NA,NA
Wrong Assembly Manual: You hade one job to put the correct assembly manual in the box. FAIL,1,NA,NA,NA,NA,NA
Caution: This item was supposed to be assembled free of charge. The store told my husband it was a box item and not assembled. I placed the order and my husband picked it up so he did not know it was supposed to be assembled.,4,0,0,0,0,0
Impressed with the Blackstone so far !!: Wife and I went in to buy yet another gas grill - seems we buy one about every 5 years - we have bought cheap and weve bought expensive - they all rust and breakdown all with good intentions of keeping fully covered in the outdoor elements - but none the less - We were in Lowes buying our next grill when we ran into a guy that had bought a Blackstone a month earlier and just raved about it. So we pulled out our phones and started researching them right there in Lowes. Different options for the B...,5,1,1,-1,-1,1
Great grill: My father in law has one…and now I can’t wait to use my own!,5,1,0,1,-1,0
"Bad Experience: Terrible Experience.  I Was Supposed to Pick It Up On May 28 But Wasn’t Notified. Finally Got a Text and Email to Pick It Up on Wed Jun 2. After Showing Up on June 2 from Brooklyn (40 Mins away), They informed Me that the Unit Wasn’t Built. So, I Was Assured that It Would Be Built by June 3.  I Went to the Store on Sunday June 4 to Pick It Up and I Was Informed that Supposedly, My Grill Was Hit and Dented and Wasn’t Available. I Had No Choice But to Accept a Floor Sample and $100 Was Deducted Ca...",1,NA,NA,-1,NA,NA
"Assembly And Startup Review: Purchased new 36"" Blackstone on 03/16/22 @ Lowes in Owasso, OK on sale for $449. Pickup at store, not delivery. Upgraded from the portable 17"" model I had used almost daily for 3 years while traveling. Box was in good condition with only minor abrasions to the cardboard. The box is large and you will need a large SUV or pickup to transport it home. All parts and documentation were in the box and packed correctly. No parts were dented or scratched or missing. All paint was perfect and flat with n...",5,1,1,1,1,1
"Griddle: I have always used a traditional charcoal or gas grill but after using the griddle I may never go back.  It is so much more versatile than your standard grill.  I can cook my burgers and dogs on it but also sautee my onions and peppers and cook bacon as well.  Easy to use and clean, and evenly cooks food.  This model has a large cooking surface for lots of burgers and dogs and other foods (we did chicken on it the other day too).",5,1,-1,NA,NA,1
"Great product if it did not come damaged: This is a very well constructed product. The materials are very high quality and the instructions were extremely clear and well organized. Unfortunately, it was clear just from looking at the box it was shipped in that the item would be damaged. There was crimping on the top of the box and upon opening the package, I noticed that the hood had dents on both the top and back fins. I have been unable to get in touch with Lowe's regarding this due to extremely long wait times with customer care. I w...",3,1,1,-1,-1,1
"Griddle is nice. Free assembly was disappointing.: I ordered this with the free assembly by Lowes. This thing was delivered missing the grease trap and the entire front storage shelf. It is not exactly inconspicuous. It is almost 3 ft. long and says Blackstone on the front of it. I don't know how this could've been cleared to be ok to deliver like this. I talked to the local store to get the parts, which they offered to take from a floor model, but none was available. Luckily the Blackstone customer service is awesome and send out my replacement...",4,1,0,-1,NA,NA
"Fantastic griddle.: My wife got me this for Father’s Day. I assembled it, which was pretty easy. It took about 2 hrs tops. It is much sturdier than the display unit at the store. I seasoned the grate about 4-5 times. Used canola oil first. Then vegetable oil. Then olive oil. Then canola again. It seasoned nicely. The front edge is still the least seasoned area but will eventually season dark like the rest. I’ve cooked on it probably about 20 times so far. It’s fantastic. And everything we’ve made had been so good. ...",5,1,1,1,NA,1
"Works great!: 36” Blackstone is great to make eggs, sausage,  pancakes, and much more.",5,1,0,1,0,1
"Be sure to season the grill before using,: Bought this grill for husband’s birthday. He has been cooking everyday on this grill, breakfast and dinner! I wish I had bought it sooner. He’s pretty much taken over preparing our meals and that is fine with me. This grill is beautiful and super easy to clean",5,1,0,1,NA,NA
Easy fun cooking: Loved the ease of seasoning and cooking on this griddle.  Variety of meals to cook is endless!!!,5,1,0,1,NA,1
Smash burger heaven: Wanted a flat top for a long time. This Blackstone more then meet (exceeds) my wants.  We went with a four burner so I can control cooking temperature. We thought about the 2 burner with air fryer but this one has way more btu’s and much easier to clean. Since out purchase I have cooked a variety of Meals. The neighbors always seem to stop by. The smells seem to invite them over. I highly recommend this Blackstone,5,1,1,1,-1,1
"Damaged goods: I thought getting this Blackstone grill already assembled and delivered was my best option.  I was wrong.  Scrapes, scuff and dents.  Trying to get thru to Lowes is a nightmare.  There is no manual that comes with the grill.  I would think that Blackstone would want their quality not be tarnished with shoddy assembly and service.  I have been on the phone with Lowes waiting for a customer service for over 15 minutes-the first time my call was dropped.  I called someone on Wednesday-they took my ...",2,-1,0,-1,NA,NA
"Paint Peels and Rusts: I had seen other reviews where everyone was saying the paint starts to peel within 60 days and then the grill will rust. It is true. Blackstone says it is common because the paint didn't bake on properly.  They will send me a replacement lid and body, but they don't know how long it will be because they are having supply chain issues and everything is on back order. Plus, I have to figure out how to take my grill completely apart and replace the parts myself. So much for my grill being assembled...",1,NA,NA,-1,NA,NA
"Horrible customer service: Horrible customer service. Sent me a broken one with the broken nobs taped to it. Had to return it, said they didn’t have any then they did, got one in the box instead. Just a mess and rude service as it was an expensive Christmas.",1,NA,NA,-1,NA,NA
"Rusted and dirty upon delivery: When you spend five hundred dollars on a grill, you expect it to be brand new when it arrives to you. This expensive grill was left out in the rain and rusted, and then they thought that was okay to deliver to me? Come on, do better",1,NA,NA,-1,NA,NA
"Amazing griddle: I absolutely love my 4 burner Blackstone griddle. You can easily cook multiple things at one time. It also makes it easy to cook for large groups. Clean up is easy and food doesn’t stick. Everything I’ve cooked so far, steaks, chicken cheesesteak sandwiches, zucchini cakes and egg roll in a bowl has tasted great. I’m very impressed with this griddle. It makes me feel like I’m a real chef or at least a great short order cook. 😊",5,1,1,1,NA,1
Couldn't be happier: We bought this for the 4th of July party we held. Little over 40 people came this thing helped us out so much. We were able to cook up incredible amount of burgers and hot dogs at the same time. Then for breakfast it was such a blessing to be able to make the eggs bacon sausage and potatoes all at the same time. Nothing was overheated nothing not heated enough no parts falling off. It is such a solid flat iron grill. Great product I highly recommend.,5,1,1,1,-1,1
"Awesome grill: I bought this for my husband for Christmas and he loves it.  We can’t wait for him to cook up some delicious food. However, don’t make the mistake I made and ask for it be assembled.  Since it was a gift I was trying to save my husband from having to put his own gift together and that backfired.  When it was delivered the grill was scratched in multiple places, had a dent on the hood, a pin was missing from the hinge holding the hood on, and I found 2 misc. screws in various places.  The base wa...",5,1,NA,-1,NA,NA
its big and takes up alot of space.: love it highly recommend,5,1,-1,0,1,0
"Outstanding product: Great for the patio, and very durable for every day cooking",5,1,0,1,NA,1
"Convenient but annoying: Product was seasoned but never used yet. Had it put together at Lowe’s and shipped to me. That was a mistake. Has a couple dents and scratches upon arrival. Also, the sticker with the serial number is nowhere to be found.",4,0,0,-1,-1,0
"Looks and works like a million bucks.: Sturdy, attractive. I like the new reinforced lid that resists twisting. The front tool caddy seems poorly engineered- water doesn’t drain out naturally. Still, that is not why I bought this and everything else is spot on.

Having used exclusively cast iron in the kitchen for the last decade I’m used to seasoning the cookware. This is so much easier since it’s outdoors. As I seasoned it (10 coats) I found It to heat very unevenly but as I’ve cooked several times on it, including smash burgers (i...",5,0,NA,1,NA,1
Love our new grill: It’s easy to use and it came put together.  The only negative thing I would say is that it must have been a floor model because it was filthy dirty (a lot of dust on it) when we got it.,5,NA,NA,NA,NA,NA
Item arrived covered in rust with bent parts: This item which was delivered today fully assembled with mismatched hardware that was completely rusted and not screwed in all the way. There is rust all over it. The side panel that is supposed to pop up is bent and is so rusted we can’t get it to move. Delivery driver was also rude! Tried calling Lowe’s and the wait time to speak to customer service is over an hour. This was supposed to be Father’s Day gift. Now it’s a headache.,1,NA,NA,-1,NA,NA
"Not the same: While this is sold under the Blackstone badge, it has been made specifically for Lowes and is not the same product as you will get from other dealers or Blackstone themselves. Including the seasoning process, I had not even run a full 15 pound propane cylinder through it before I started seeing falling paint on the frame with rust under it as well as little fit and finish issues. The few times I did cook on it I didn’t have any major issues with the performance but long term I could tell that it...",3,0,0,-1,0,0
"This griddle grill makes cooking a joy.: This is a great griddle grill. It appears to be a special griddle grill made by Blackstone specifically for Lowe's. It actually uses half the propane of other models of the same size made by Blackstone, which is great! The full-size lid also allows for great cooking without having to purchase extra basting covers. The large cooking surface and four cooking areas gives me a choice to cook for myself, my wife and I, or all of our kids and grandkids.",5,1,1,1,NA,1
"Flaking paint and no fix in sight: I purchased this at the end of July 2021. The lid and body started flaking paint within 30 days.  I purchased a Blackstone cover and the grille was never left uncovered.  It appears that heat resistant paint was not used because the paint started bubbling.  If you read the reviews many people have this same problem.  

I contacted Blackstone and the said they will order it for me and replace for free.  They both are on backorder 3-4 weeks.  It has now been 6 weeks and still no parts and they hav...",1,-1,0,-1,NA,NA
"Great to Cook on but was an Adventure in Purchasin: This is a great griddle and I love cooking on it. It was fairly easy to put together although the videos on youtube don't match the assembly of this particular griddle. This one comes with the legs detached and you pretty much have to assemble everything. Still it has been worth assembling it.

The adventure came this past Saturday to purchase it. It had raned and even snowed ( Uncommon for Tucson) and I had gone in the afternoon to get it. It took them almost an hour once I re quested one to br...",5,1,0,1,-1,0
Cooks Great but…: The griddle itself is great!  The stand it comes with is questionable.  The areas of the stand directly under the griddle have rusted in less than 4 months.  I purchased the cover and always put it on.  The product has never been in the rain without the cover.  My guess is the heat ruined the paint.  I’m going to have to take the top off and sand to raw metal.  Then use a high heat primer and paint to fix.,4,1,0,-1,NA,NA
"Jury is out.: I have not used this product yet but I am very dissatisfied with the delivery /assembly.   The grill was delivery on the driveway in the elements with zero knocks to the door.   My husband took off work to make sure he was here for delivery. Secondly,  there are scratches all over the grill , a destroyed wheel( in assumed they tried to drag it in a locked position). They assembled the tank hook upside down. And I’m completely missing the front tray.",3,NA,NA,-1,NA,NA
"Rusted out after just 1 year.: I bought this blackstone because I have the smaller traveler edition for our RV and it works well. This model is a complete dumpster fire. Rusted out in less than a year. It's not even the flat top part its the entire rest of it the frame, the entire thing. The griddle part is mostly good but the rest of it is a mess. It's embarrassing how poor this thing is. Blackstone and lowes needs to do better. 450 bucks down the drain, going to buy a camp chef.",1,-1,0,-1,0,0
"Buyer beware poor customer service!!!: This grill was purchased as a gift for my father in law and i was tasked with assembly.  Exterior box arrived undamaged so unpacking began.  As I began removing items, i came to the lid and observed a very obvious dent.  Strange was the dent was from inside the lid out not as if the package was crushed in shipping.  See pics.  Called and sent photos to customer service and was told since this is only cosmetic we will not replace the lid but you can pick a $35 accessory for your troubles.  I stat...",2,NA,NA,-1,NA,NA
Love this product: Purchssed after issues with my traditional propane grill. Starting to really enjoy using. Be careful with the screws on the lid - design is weird and they like to loosen and come off simply from everyday use. Cooks well and love that we can make an entire dinnee outside without needing the stovetop or oven - especially during the summer heat.,4,1,0,-1,NA,1
"Great Function, Awful Assembly, Shelves Too Hot: First the bad stuff: This thing is an absolute (rhymes with rich) to assemble. The top is cast iron and weighs a ton, so you will definitely need two people to place it. And the bolt holes in it do not match up with the ones on the base, so not all the bolts can be placed. The control knobs are incredibly difficult to push on and there is no indication in the instructions as to which way round they go, so that's just trial and error. The gap between the cast iron griddle and the heating elements...",4,1,-1,0,NA,NA
"Arrived damaged, missing pieces, assembled wrong: Grill arrived damaged, missing pieces, assembled wrong, and needed many screws tightened.",1,NA,NA,-1,NA,NA
Blackstone: The grill is great and the managers and customer service at this store  (Lowe’s Home Inprovement in Shallotte NC) are the very best. Noah and Mike are the best of the best.,5,NA,NA,NA,NA,NA
"Delicious Food with Easy Cleanup!: I absolutely love cooking on my new Blackstone griddle.  I've been able to make some delicious food and cleanup is simplified because it effectively eliminates the need for pots and pans.  Just give it a good spray down with water, dry and wipe clean, and add a light coating of oil after you're done.  I'm extremely happy with my purchase!",5,1,1,1,0,1
Fantastic Grill: Absolutely love cooking on this grill surface! My only complaint is I wish it started easier. The burner furthest from the starter has a bit of trouble. Otherwise I find this grill to be very high quality. It cooks even and heats up fast. Very easy to clean.,4,1,-1,1,NA,NA
"All good so far.: Purchased the grill un-assembled and putting it together was relatively easy. Took a couple of hours. Have only used a few times so far but so far all good. Used it for breakfast sandwiches, chicken and steak fajitas, and tacos. Have not tried burgers or steaks yet so will see how that goods. No complaints at this point.",5,NA,NA,NA,NA,NA
"You definitely want to make sure you 'season' it!: Now, I have only had it since the beginning of May, but I love it! I've cooked with it half a dozen times, and each time, the food just sizzles so good and is easy to make! For someone who isn't the main contributor for food in this family, my wife has loved me getting out and making steaks, fajitas, and hibachi styled goodness! Thankful for a great product!",5,1,1,1,NA,1
"Propane regulator: Cooks great. Only issue is the regulator has a very sensitive flow limiter. If you turn the propane tank on more than just a smidge when lighting it shuts the regulator right down to a trickle. The trick is to barely open the valve, light 1 burner, open the propane valve half way, light the second burner, then you can turn on the propane tank all the way. That’s why I gave it only 4 stars.",4,NA,-1,NA,NA,NA
"Make sure you buy a cover and keep clean: I love cooking, so this made it perfect to make Birria tacos outside so I wouldn’t make the mess inside. The only thing I see is the seasoning is a little bit of a pain in the butt but other than that once he got it seasoned, it should be easy to take care of, and one of the best cooking tools he can have.",5,1,0,1,0,1
"Poor customer service: Received this for Christmas from kids and wife. Upon assembly could tell the lid was bent or deformed from the get go. I’m thinking a stamping error. It wouldn’t lay flat on a flat surface. Installed anyway and it didn’t open and close properly. Called and was told that’s how they are. You have to make sure you use the center of the handle when you use it so it doesn’t catch or oil can. Still doesn’t work. Took pics, took video, no response. Ignored. I know it isn’t supposed to be this way. The ...",1,-1,-1,-1,-1,-1
"Very disappointed: We brought this grill home and my husband just put it together. 
The lid is absolutely horrible -- a complete failure on the part of Blackstone. It is flimsy and got dented during installation. It doesn't lift easily unless you grab the handle right in the center, it's not easy to get off and the way it hangs on the back, it sticks out a whole foot. In addition, it doesn't lock in place and I'm sure any gust of wind will bring it down on you when you're cooking, which is hazardous. Because of th...",1,-1,0,-1,-1,0
Missing parts: I received my Blackstone grill assembled as requested. As drivers were leaving lifted the lid and found wad missing a part to hold screw in place so hood doesn’t open and falls when Zi do open it. Driver told me call the store he took pictures. Have been calling the store for two hours straight no response !!! Would recommend gril but not Lowes,2,NA,NA,-1,NA,NA
"Wonderful griddle - great updates: This griddle is the 2023 model. It has a lot of small fixes from previous models that make it noticeable after you research all the options online. It took about 75-90 minutes to assemble. Fantastic griddle with all sorts of bells and whistles that fit into a fairly compact design with side shelves that fold down (propane side is at an angle, doesn't bother me at all though)",5,NA,NA,NA,NA,NA
"Get one, you will love it!!!!!!: This unit will cook just about anything I want. It is built like a Sherman tank. If you have a pick up truck or trailer, I would elect to have it assembled by the store. It weighs 187 pounds and is quite a pain to put in and take out of your vehicle in its box. Been there, done that and won't make that mistake again. It also takes some body maneuvering to assemble the unit. That said, I love the Black Stone grill. It is easy to move around and has plenty of usable amenities suh as a trash bag ho...",5,1,1,1,-1,1
"Want some rusted meat?: I purchased this grill back in late April due to the positive reviews, wanting to try something different than a standard grill. I do like it for the most part, but after having it covered for a few weeks due to the endless rain we had in Texas, I went to grill the other day, and a large spot was rusted. I went to scrape it and large amounts of rust started coming off. I was astonished, as I hadn't done anything differently. The grill had been properly seasoned, and had been used at least three ...",3,0,0,-1,NA,NA
Not Assembled properly and dirty: There are bolts missing and the product is dirty on the grill. There is oil stains and also some other stains. The delivery guys were great but whoever put the product together didn’t do good and the product itself is nasty. Do not order.,1,-1,0,-1,NA,NA
"Lowes Service: BBq was delivered to my house and was supposed to include Installation. Didn't happen. Parts missing.
Screws for the lid never came with the BBQ.
Tried calling Lowes Customer Service - Good Luck ! Nobody calls back. No resolution. Nothing and people are RUDE !
We will see what happens next.",2,-1,0,-1,NA,NA
It’s awesome: It’s easy to do several dishes at the same time,5,1,1,NA,NA,1
Cheap hardware and parts .: Got it put together and the gas line regulator is not functioning. Tried to replace it but can't get the broken one off.,1,NA,NA,-1,NA,NA
: Nice grill but would not recommend that you purchase assembled and delivered. Lid and side were bent and it’s missing a few pieces.,4,0,0,-1,NA,NA
"4th burner finicky: The grill is great, but the 4th burner won't light unless its the first one. something is wrong with the pressure. can't return to Lowe's, so guess just have to deal.",3,NA,NA,NA,NA,NA
36” Blackstone griddle: Very well made. Heats evenly and easy to cook on! Only gripe: The beautiful tray/rack that mounts to the front of the griddle will NOT stay on. I’ll have to permanently attach it with sheet metal (self tapping) screws. Not a deal breaker though!!!,5,1,1,1,-1,1
If you have parties in the back yard...MUST HAVE: MAKE SURE TO PROPERLY SEASON GRIDDLE BEFORE COOKING ON IT. Sorry for screaming but it is needed if you want the experience that Blackstone is offering lol Youtube is full of tutorials on how to season (it is very simple). It has been an excellent cooking experience thus far and can't wait to make more smash burgers!,5,1,0,1,NA,NA
"Pretty good overall, not without faults.: Most of the grill is very good quality and then there are a few questionable parts and head scratchers.  Lots of assembly and some of the screws it is physically impossible to get them tightened because you can't get a proper driver in place.  

My biggest complaint is HOLY PACKAGING.  Awful... boxes within boxes, plastic, styrofoam, cardboard beams... just way too much.  I say this because its taken me 5 garbage loads in my HOA (stuffing as much as I can in the bin) and just finally got it all ...",4,NA,NA,0,NA,NA
you need this: 4 zones allow 4 different temps and items which will help the whole meal to be ready at the same time.,5,1,1,1,0,1
