review_content,review_rating,raw_cutting_performance,overall_cutting_performance,cutting_performance_opinion,cutting_performance,raw_ease_of_use,overall_ease_of_use,ease_of_use_opinion,ease_of_use,raw_durability,overall_durability,durability_opinion,durability,raw_engine_power,overall_engine_power,engine_power_opinion,engine_power,raw_maneuverability,overall_maneuverability,maneuverability_opinion,maneuverability
"Lower Your Expectations for This Mower: This product, at this time, does not offer the value for the expectations that we had at the time of purchase. 
Issue #1: The mower prominently displays the phrase, ""Guaranteed to Start!"" Unfortunately, all lawnmowers should start when then starter rope is pulled 5-10 times.
Issue #2: On a low cutting length setting, this mower stalls out when the bagging attachment is attached.  We like to compost our clippings, rather than mulch them. This is a disappointment.
Item #3: There is no speed setting for the self-propelled feature on this lawn mower. My wife does the mowing (why we purchased a self-propelled mower) while I trim and edge the lawn. If she continues to slow as she ages (anticipated) and this lawnmower lasts as long as the last one, I fully expect to observe her being dragged across the lawn at some point in the future. 
Thie more is a big disappointment when compared to the expectations for the Toro brand.[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer talks about how the mower stalls out when the bagging attachment is attached and how there is no speed setting for the self-propelled feature.
3. Sentiment on cutting_performance is NEGATIVE",NEGATIVE,The reviewer talks about how the mower stalls out when the bagging attachment is attached and how there is no speed setting for the self-propelled feature.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer talks about the self-propelled feature and the easy start feature of the lawn mower.
3. Sentiment on ease_of_use is NEGATIVE",NEGATIVE,The reviewer talks about the self-propelled feature and the easy start feature of the lawn mower.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions the durability in terms of the longevity and sturdiness of the lawn mower, as well as the quality of materials used in its construction.
3. The reviewer's opinion on the durability is NEGATIVE",NEGATIVE,"The reviewer mentions the durability in terms of the longevity and sturdiness of the lawn mower, as well as the quality of materials used in its construction.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the engine_power.
3. Since the reviewer does not mention the engine_power, there is no opinion provided on it.",,,,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
"Self propell  touchy and will go to fast .: The mower was very easy to assemble, just attach the handle. It came with a premeasured bottle of engine oil. I added the oil, gasoline and gave the starting cord a pull. The engine started kn the first pull.The engine is powerful and did not bog down as my lawn had gotten about 4 inches tall. The mulcher chops the grass into a fine consistency which doesn't  leave clumps like my old mower. Totally satisfied![Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer talks about the cutting_performance being effective and consistent.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer talks about the cutting_performance being effective and consistent.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower was very easy to assemble, just attach the handle. It also came with a premeasured bottle of engine oil and starting the engine was easy.
3. Sentiment on ease_of_use is POSITIVE",POSITIVE,"The reviewer mentions that the mower was very easy to assemble, just attach the handle. It also came with a premeasured bottle of engine oil and starting the engine was easy.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the engine is powerful and did not bog down even when the lawn was 4 inches tall. They also mention that the mulcher chops the grass into a fine consistency.
3. The reviewer's opinion on durability is POSITIVE",POSITIVE,The reviewer mentions that the engine is powerful and did not bog down even when the lawn was 4 inches tall. They also mention that the mulcher chops the grass into a fine consistency.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the engine being powerful and not bogging down even when the lawn was tall.
3. Sentiment on engine_power is POSITIVE",POSITIVE,The reviewer talks about the engine being powerful and not bogging down even when the lawn was tall.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention maneuverability.
3. Sentiment on maneuverability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention maneuverability.,NOT MENTIONED
"Dangerous assembly defect: On quite literally the first mow with my new mower, the front wheel assembly fell out of place and into the blade, destroying the wheel and adjustment arm. I got literally 10 minutes of use out of this $400 item. I hope the warranty process goes better than the user experience so far. We're very lucky no one was injured.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that on the first mow with the new mower, the front wheel assembly fell out of place and into the blade, destroying the wheel and adjustment arm.
3. The reviewer's opinion on the cutting_performance is NEGATIVE as the assembly defect caused damage to the mower during the first use.",NEGATIVE,"The reviewer mentions that on the first mow with the new mower, the front wheel assembly fell out of place and into the blade, destroying the wheel and adjustment arm.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions a dangerous assembly defect that caused the front wheel assembly to fall out of place and into the blade on the first use.
3. The reviewer's opinion on the ease_of_use is NEGATIVE as they experienced a dangerous issue with the mower during their first use.",NEGATIVE,The reviewer mentions a dangerous assembly defect that caused the front wheel assembly to fall out of place and into the blade on the first use.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions a dangerous assembly defect that caused the front wheel assembly to fall out of place and into the blade, resulting in the destruction of the wheel and adjustment arm.
3. The reviewer's opinion on durability is NEGATIVE, as the mower experienced a major issue on the very first use, indicating poor durability.",NEGATIVE,"The reviewer mentions a dangerous assembly defect that caused the front wheel assembly to fall out of place and into the blade, resulting in the destruction of the wheel and adjustment arm.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the engine_power.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions the front wheel assembly falling out of place and into the blade, which indicates a problem with maneuverability.
3. The reviewer's opinion on maneuverability is NEGATIVE.",NEGATIVE,"The reviewer mentions the front wheel assembly falling out of place and into the blade, which indicates a problem with maneuverability.",NEGATIVE
"Its a Toro, What else is there to say: this was a direct replacement for my previous mower of 10 years. Start on first pull, and yard looks great.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower was a direct replacement for their previous one and that it starts on the first pull.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the mower was a direct replacement for their previous one and that it starts on the first pull.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower starts on the first pull and the yard looks great.
3. The reviewer's opinion on the ease_of_use is POSITIVE",POSITIVE,The reviewer mentions that the lawn mower starts on the first pull and the yard looks great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that this lawn mower was a direct replacement for their previous mower of 10 years.
3. The reviewer's opinion on the durability is POSITIVE.",POSITIVE,The reviewer mentions that this lawn mower was a direct replacement for their previous mower of 10 years.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower starts on the first pull and the yard looks great.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,The reviewer mentions that the mower starts on the first pull and the yard looks great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention maneuverability.
3. Sentiment on maneuverability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention maneuverability.,NOT MENTIONED
"Pure garbage: This is a nice Briggs and Stratton engine wrapped in a bunch of cheap plastic. I was excited to get a new mower, read a bunch of great reviews. It got here and I was pretty happy with the way it looked. I went to use it, tried to lower the wheels and realized it was pretty cheaply made. The front wheel assembly barely held on in each notch to raise or lower the cut. Fired it up, easily. Sounded good. Went to mow my standard, normal, level, non overgrown, run-o-the-mill lawn. Two minutes in the front wheel assembly falls from the peg holding it up, gets lodged under the mower deck, gets sucked under and shreds a whole wheel, hits the metal rod going to the other wheel, damages the blades and shuts off the mower. Apparently the front wheel assembly is just a bar with two wheels that pops into two plastic teeth under the mower deck. Suffice to say after I hit send on this review I’m headed back to Lowe’s to drop off this massive dumpster fire in exchange for my money. Stay away from this thing.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the front wheel assembly fell off, got lodged under the mower deck, shredded a whole wheel, damaged the blades, and ultimately shut off the mower while they were mowing their lawn.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,"The reviewer mentions that the front wheel assembly fell off, got lodged under the mower deck, shredded a whole wheel, damaged the blades, and ultimately shut off the mower while they were mowing their lawn.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the front wheel assembly of the lawn mower was cheaply made and fell off while mowing.
3. The sentiment on ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the front wheel assembly of the lawn mower was cheaply made and fell off while mowing.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the front wheel assembly fell off, got lodged under the mower deck, shredded a wheel, damaged the blades, and shut off the mower.
3. The reviewer's opinion on durability is NEGATIVE",NEGATIVE,"The reviewer mentions that the front wheel assembly fell off, got lodged under the mower deck, shredded a wheel, damaged the blades, and shut off the mower.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower has a nice Briggs and Stratton engine.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the mower has a nice Briggs and Stratton engine.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer talks about the front wheel assembly falling off and causing damage to the mower.
3. Sentiment on maneuverability is NEGATIVE",NEGATIVE,The reviewer talks about the front wheel assembly falling off and causing damage to the mower.,NEGATIVE
"Electric to gas... Won't go back: [This review was collected as part of a promotion.] Love this mower! We had an electric, which worked great but it would take two days to mow the lawn and didn't have the power a gas mower has. This mower has exceeded our expectations, and the self propel makes it so much easier on the hills we have. Not to mention is will drag anyone up the hill with it if your struggling. We have become toro customers for any future mowers[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer talks about how the electric mower they had previously took two days to mow the lawn and didn't have the power of a gas mower.
3. The reviewer's opinion on the cutting_performance is POSITIVE, as they mention that the gas mower has exceeded their expectations and has the power to make mowing the lawn much easier.",POSITIVE,The reviewer talks about how the electric mower they had previously took two days to mow the lawn and didn't have the power of a gas mower.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about how the self propel feature makes it easier to mow the lawn, especially on hills.
3. Sentiment on ease_of_use is POSITIVE",POSITIVE,"The reviewer talks about how the self propel feature makes it easier to mow the lawn, especially on hills.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the electric mower they previously had did not have the power of a gas mower and took two days to mow the lawn.
3. The reviewer's opinion on durability is POSITIVE, as they mention that the new gas mower has exceeded their expectations and they have become Toro customers for any future mowers.",POSITIVE,The reviewer mentions that the electric mower they previously had did not have the power of a gas mower and took two days to mow the lawn.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about how the electric mower they previously had didn't have the power a gas mower has.
3. The reviewer's opinion on the engine_power is POSITIVE. They mention that the gas mower has exceeded their expectations and has the power they were looking for.",POSITIVE,The reviewer talks about how the electric mower they previously had didn't have the power a gas mower has.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the self propel feature makes it much easier to navigate on the hills they have.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer mentions that the self propel feature makes it much easier to navigate on the hills they have.,POSITIVE
"21in Recycler Self Propelled Toro Mower: [This review was collected as part of a promotion.] I have now used this mower about 5 times and I would say I’m overall very pleased with its performance. The self propelled feature is a game changer. It feels almost luxurious to simply walk behind the mower! The cut is great. I would say that while the clippings are small, the transition from under the mower to into the bag is not the smoothest. Each time I have to empty the bag there are clippings that have to be hand removed from the section in between under the mower and where the bag starts. Other than that I am quite pleased with this purchase. Good machine and a good price! I would recommend this mower![Rating - 4/5]",4,"1. The overall review is POSITIVE
2. The reviewer mentions that the cut is great.
3. The reviewer's opinion on the cutting_performance is POSITIVE",POSITIVE,The reviewer mentions that the cut is great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the self propelled feature being a game changer and feeling luxurious to simply walk behind the mower.
3. The reviewer's opinion on the ease_of_use is POSITIVE",POSITIVE,The reviewer talks about the self propelled feature being a game changer and feeling luxurious to simply walk behind the mower.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Since the reviewer does not mention durability, the sentiment on durability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention the engine_power.
3. Sentiment on engine_power is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention the engine_power.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer talks about the self propelled feature being a game changer and feeling luxurious to walk behind the mower.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer talks about the self propelled feature being a game changer and feeling luxurious to walk behind the mower.,POSITIVE
"Honest Review: [This review was collected as part of a promotion.] First gas lawnmower purchased in ten years. Excels in the ease of cleaning and quality of cut. Pros are light weight and maneuverability.  Even be better if the variable speed was more variable between barely moving and fastest speed.  Cons can be challenging to restart, no fuel cutoff switch, handle not foldables are able to stand straight up when storing, and self-propelled is not fast and engagement is seems to be of lower quality.[Rating - 4/5]",4,"1. The overall review is POSITIVE.
2. The reviewer mentions that the quality of cut is excellent.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the quality of cut is excellent.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the lawn mower excels in ease of cleaning and quality of cut, and also mentions that it is lightweight and maneuverable.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer mentions that the lawn mower excels in ease of cleaning and quality of cut, and also mentions that it is lightweight and maneuverable.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention engine_power in the review.
3. The reviewer's opinion on engine_power is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention engine_power in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the gas lawnmower excels in maneuverability.
3. The sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer mentions that the gas lawnmower excels in maneuverability.,POSITIVE
There is no idle so blade spins or it’s off: The only thing I don’t like about this lawn mower is there is no idle so when I have to move down a stone step to another level of lawn I have to shut the mower off. So far it never starts right after that so I have to wait and try later on to start it and finish.[Rating - 4/5],4,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the only thing they don't like about the lawn mower is that there is no idle, so they have to shut it off when moving down a stone step to another level of lawn.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the only thing they don't like about the lawn mower is that there is no idle, so they have to shut it off when moving down a stone step to another level of lawn.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that there is no idle on the lawn mower, so when they have to move down a stone step to another level of lawn, they have to shut the mower off.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that there is no idle on the lawn mower, so when they have to move down a stone step to another level of lawn, they have to shut the mower off.",NEGATIVE,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the only thing they don't like about the lawn mower is that there is no idle, which causes them to have to shut it off when moving down a stone step.
3. The reviewer does not specifically mention their opinion on the durability of the lawn mower. Therefore, the sentiment on durability is NOT MENTIONED.",NEUTRAL,"The reviewer mentions that the only thing they don't like about the lawn mower is that there is no idle, which causes them to have to shut it off when moving down a stone step.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that there is no idle so when they have to move down a stone step to another level of lawn, they have to shut the mower off.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,"The reviewer mentions that there is no idle so when they have to move down a stone step to another level of lawn, they have to shut the mower off.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that there is no idle on the lawn mower, so they have to shut it off when moving down a stone step to another level of lawn.
3. The reviewer's opinion on maneuverability is NEGATIVE.",NEGATIVE,"The reviewer mentions that there is no idle on the lawn mower, so they have to shut it off when moving down a stone step to another level of lawn.",NEGATIVE
"Better than a 40v: This thing goes right through what makes my 40v green works die every time.  I took 1 star off because you have to register it to get the side discharge chute (should be included) and it looks like they're on back order so I don't know when I might get it. Also, the pace of the self propelled drive is pretty fast with no throttle control at all  Happy with it overall.[Rating - 4/5]",4,"1. The overall review is POSITIVE.
2. The reviewer mentions that the lawn mower goes right through what makes their 40v green works die every time.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the lawn mower goes right through what makes their 40v green works die every time.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the pace of the self-propelled drive is pretty fast with no throttle control at all.
3. The reviewer's opinion on the ease_of_use is NEUTRAL",POSITIVE,The reviewer mentions that the pace of the self-propelled drive is pretty fast with no throttle control at all.,NEUTRAL,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower goes through what makes their 40v green works die every time, indicating that it is durable.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,"The reviewer mentions that the lawn mower goes through what makes their 40v green works die every time, indicating that it is durable.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower goes right through what makes their 40v green works die every time, indicating that the engine_power is strong and efficient.
3. Sentiment on engine_power is POSITIVE",POSITIVE,"The reviewer mentions that the lawn mower goes right through what makes their 40v green works die every time, indicating that the engine_power is strong and efficient.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions the pace of the self-propelled drive being pretty fast with no throttle control.
3. Sentiment on maneuverability is NEGATIVE",POSITIVE,The reviewer mentions the pace of the self-propelled drive being pretty fast with no throttle control.,NEGATIVE
"Cuts great. but the Bagger isn't all that great: The mower cuts great it's does the job cutting the lawn into fine pices, but I feel the bagger could have some improvements. When I mow the lawn, clipings still find it's way out from the bag after pushing the plastic part down on top of the bag, When I go to dump the clippings, once you pull the bag off the mower, it dumps a portion out behind your mower. Please Toro fix your bagger problem it could be bigger to hold more and fix it where the clipings aren't calling out the bag once you pull it off the mower and fix where the clipings aren't shooting out from the bagger as well. Other than that it cuts great and dose the job.[Rating - 3/5]",3,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower cuts great and does the job cutting the lawn into fine pieces.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",NEGATIVE,The reviewer mentions that the mower cuts great and does the job cutting the lawn into fine pieces.,POSITIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower cuts great and does the job cutting the lawn into fine pieces, but they have issues with the bagger not working well.
3. The sentiment on ease_of_use is NEGATIVE. The reviewer specifically mentions problems with the bagger not working properly, which affects the overall convenience and user-friendliness of the lawn mower.",NEGATIVE,"The reviewer mentions that the mower cuts great and does the job cutting the lawn into fine pieces, but they have issues with the bagger not working well.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower cuts great and does the job cutting the lawn into fine pieces, but they have issues with the bagger.
3. The reviewer's opinion on durability is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the mower cuts great and does the job cutting the lawn into fine pieces, but they have issues with the bagger.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the engine_power.
3. The sentiment on engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Since maneuverability is not mentioned in the review, the sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
"Nice machine: [This review was collected as part of a promotion.] A very good mower. Esthetically its a good looking machine. It assembled very easily. It started on the first pull. It has very good power. Its our first self propelled and we were not sure we needed propulsion because we are both athletic, but at the end of the day when you tired i truly enjoyed the magic bar that engaged the drive system. It works totally normal when not engaged. Very happy with purchase.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower has very good power and that they enjoyed the magic bar that engaged the drive system.
3. Sentiment on cutting_performance is POSITIVE",POSITIVE,The reviewer mentions that the mower has very good power and that they enjoyed the magic bar that engaged the drive system.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about how the lawn mower assembled easily, started on the first pull, and had very good power. They also mention enjoying the self-propulsion feature and the magic bar that engaged the drive system.
3. Sentiment on ease_of_use is POSITIVE",POSITIVE,"The reviewer talks about how the lawn mower assembled easily, started on the first pull, and had very good power. They also mention enjoying the self-propulsion feature and the magic bar that engaged the drive system.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower has ""very good power.""
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,"The reviewer mentions that the mower has ""very good power.""",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the self-propelled feature with the magic bar that engaged the drive system made maneuvering the lawn mower easier.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer mentions that the self-propelled feature with the magic bar that engaged the drive system made maneuvering the lawn mower easier.,POSITIVE
"It cuts but nothing to brag about: No, primer, no choke, back flap falls off every mow so I just ripped it off completely. Hit a bump and the rear height adjustment came loose and bottoms out scalping that portion of grass. Single speed. It and the craftsman were the only 2 gas models available, they would not ship the 150cc to the store only to your house for and additional charge.[Rating - 2/5]",2,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower cuts, but there is nothing to brag about.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,"The reviewer mentions that the lawn mower cuts, but there is nothing to brag about.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions issues with the back flap falling off, rear height adjustment coming loose, and scalping grass when hitting a bump.
3. The sentiment on ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions issues with the back flap falling off, rear height adjustment coming loose, and scalping grass when hitting a bump.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the back flap falls off every time they mow and that the rear height adjustment came loose and bottoms out, scalping the grass.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the back flap falls off every time they mow and that the rear height adjustment came loose and bottoms out, scalping the grass.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the rear height adjustment came loose and bottoms out, causing scalping of the grass.
3. The reviewer's opinion on the engine_power is NEGATIVE as they experienced issues with the rear height adjustment and scalping of the grass.",NEGATIVE,"The reviewer mentions that the rear height adjustment came loose and bottoms out, causing scalping of the grass.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the rear height adjustment came loose and bottoms out, causing scalping of the grass.
3. Sentiment on maneuverability is NEGATIVE",NEGATIVE,"The reviewer mentions that the rear height adjustment came loose and bottoms out, causing scalping of the grass.",NEGATIVE
"Out of control: Do not buy this mower. The throttle is set at the factory and you cannot change it.It is so fast it drags and jerks me across the lawn. In order to slow it down you have to lightly hold in the engagement bar, impossible to do. I will try and sell it.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower is so fast it drags and jerks them across the lawn.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower is so fast it drags and jerks them across the lawn.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the throttle on the mower is set at the factory and cannot be changed, making it difficult to control the speed.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the throttle on the mower is set at the factory and cannot be changed, making it difficult to control the speed.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower is ""Out of control"" and that it ""drags and jerks"" them across the lawn.
3. The reviewer's opinion on durability is NEGATIVE as they are unhappy with the quality and performance of the mower.",NEGATIVE,"The reviewer mentions that the mower is ""Out of control"" and that it ""drags and jerks"" them across the lawn.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the throttle on the mower is set at the factory and cannot be changed, causing the mower to be too fast and difficult to control.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,"The reviewer mentions that the throttle on the mower is set at the factory and cannot be changed, causing the mower to be too fast and difficult to control.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower is so fast it drags and jerks them across the lawn.
3. The reviewer's opinion on maneuverability is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower is so fast it drags and jerks them across the lawn.,NEGATIVE
"Exceeds Expectations: Very good lawnmower at this price point. fast  shipping, and we'll protected boxing. Easy assembly. Initial start on 2nd pull. 1st time thereafter. Bag and/or mulching works well. Rear wheel drive is great, and speed can go from crawl to brisk walk, depending on how much you engage the lower bar. I prefer rear wheel drive.  My experience is that front wheel drive mowers loose traction from the weight of grass in the rear bag. Tips: When adding oil for the first time, it doesn't take the whole bottle (approx.2/3). For mulching and/or bagging, don't let grass get too high or set mower height too low. If you do, as with most mowers, you will grass get blow by or stalling. You will then have to start at a higher setting and work your way down. I like that you don't ever have to change oil. Only add as needed.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower has a rear wheel drive which is great and that the bag and/or mulching works well.
3. The reviewer's opinion on the cutting_performance is POSITIVE",POSITIVE,The reviewer mentions that the lawnmower has a rear wheel drive which is great and that the bag and/or mulching works well.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the ease of use by mentioning features like fast shipping, easy assembly, and the initial start on the 2nd pull.
3. Sentiment on ease_of_use is POSITIVE",POSITIVE,"The reviewer talks about the ease of use by mentioning features like fast shipping, easy assembly, and the initial start on the 2nd pull.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower is well-protected in the boxing, easy to assemble, and has rear wheel drive which the reviewer prefers for better traction.
3. The reviewer's opinion on durability is POSITIVE as they mention that the lawnmower is of good quality and they like that they don't have to change the oil, only add as needed.",POSITIVE,"The reviewer mentions that the lawnmower is well-protected in the boxing, easy to assemble, and has rear wheel drive which the reviewer prefers for better traction.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower has rear wheel drive, which is great, and the speed can be adjusted depending on how much the lower bar is engaged.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,"The reviewer mentions that the lawnmower has rear wheel drive, which is great, and the speed can be adjusted depending on how much the lower bar is engaged.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the rear wheel drive is great and that the speed can be adjusted from a crawl to a brisk walk depending on how much the lower bar is engaged.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer mentions that the rear wheel drive is great and that the speed can be adjusted from a crawl to a brisk walk depending on how much the lower bar is engaged.,POSITIVE
